runNum, eventNum, m1_pt, m1_eta, m1_phi, m1_m, m2_pt, m2_eta, m2_phi, m2_m, 4_vector_m1, 4_vector_m2, invariant_mass
141544,5,231.277,0.496237,-2.22082,0.1,222.408,-0.198471,0.942319,0.1,[8.684084644778366e-07 -139.9700549330104 -184.11255918880178 119.53684229152658],[7.565327994574919e-07 130.75671321567492 179.91109030027508 -44.43190409111547],481.21418662638916
141544,7,281.327,-0.489914,1.12498,0.1,238.38,0.128715,-2.07527,0.1,[1.053292565339073e-06 121.30667256186658 253.82980936243104 -143.40598312997136],[8.017461034620095e-07 -115.22019720587426 -208.68476359293564 30.767875832387542],542.691748716178
141572,2,243.862,0.363307,1.14333,0.1,219.52,-0.0366446,-2.15279,0.1,[8.677127423104099e-07 101.09700233221768 221.91906444341274 90.55868531489014],[7.327316683701806e-07 -120.6680541115009 -183.3800728458354 -8.046023045705777],470.6724310807635
141572,3,249.809,0.0420153,-2.20356,0.1,259.533,-0.637659,0.938402,0.1,[8.340087879395731e-07 -147.73095454567488 -201.44503357001318 10.498888364105461],[1.0477565751735484e-06 153.4041815049108 209.34310398436435 -176.93897782337856],538.9397133865193
141572,4,252.531,-0.378254,-2.18576,0.1,241.758,0.684516,0.945008,0.1,[9.033349937830521e-07 -145.69241970805183 -206.26590799405722 -97.81500322920976],[1.0028396411583836e-06 141.60645938821483 195.94525057661863 178.71690033641045],565.592187429445
141572,5,228.253,0.0117822,-0.534862,0.1,225.171,0.461848,2.59199,0.1,[7.614229746734805e-07 196.37495300712507 -116.34564813713237 2.689384719096205],[8.32628778811919e-07 -192.01054929220516 117.61772061005793 107.73148308527298],464.9304742751291
141572,6,209.493,0.285565,-0.944246,0.1,191.005,-0.702511,2.19321,0.1,[7.274800396704019e-07 122.83702231036081 -169.70086328278921 60.640270064738026],[8.009146112651134e-07 -111.35551441497933 155.18653109846656 -145.4957334564576],449.8948646658891
141572,8,220.583,-0.203312,-0.0524767,0.1,260.17,0.398654,3.08507,0.1,[7.510453513739446e-07 220.2793485140568 -11.570155885842992 -45.156775476237904],[9.377121509693452e-07 -259.754513727497 14.69766982183114 106.48694983649838],500.9857283825377
141572,10,246.801,-0.377418,-2.32268,0.1,217.711,-0.0701136,0.708242,0.1,[8.825718005761587e-07 -168.56898557083346 -180.2643356424674 -95.37432385342063],[7.279915185773811e-07 165.35294733329116 141.6209106353784 -15.277011547886213],468.3823302284319
141572,11,245.675,0.0173129,-0.731129,0.1,226.7,0.5944,2.39265,0.1,[8.196064763971465e-07 182.88563698059207 -164.03977996572385 4.253559191231541],[8.937548018248486e-07 -166.0371629260042 154.35203441316713 142.82665049353497],491.7609949111415
